MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
INSTOR_WQX-2086,WAW020-0010,Stream,2,59,56,57.5,1994,1998,40.4330555555,-86.1402777777,IN
INSTOR_WQX-2087,WAW020-0011,Stream,2,50,49,49.5,1994,1998,40.4372222222,-86.1652777777,IN
INSTOR_WQX-2088,WAW020-0012,Stream,2,58,32,45,1994,1998,40.4183333333,-86.1561111111,IN
INSTOR_WQX-2089,WAW020-0013,Stream,7,97,36,65.31285714285714,1994,2003,40.4327777777,-86.1652777777,IN
INSTOR_WQX-2090,WAW020-0014,Stream,2,54,54,54,1994,1998,40.4397222222,-86.1861111111,IN
INSTOR_WQX-2091,WAW020-0015,Stream,2,52,49,50.5,1994,1998,40.4463888888,-86.2213888888,IN
INSTOR_WQX-2094,WAW020-0017,Stream,2,46,26,36,1994,1998,40.4402777777,-86.2416666666,IN
INSTOR_WQX-2095,WAW020-0018,Stream,2,48,40,44,1994,1998,40.4566666666,-86.235,IN
INSTOR_WQX-2096,WAW020-0019,Stream,3,47,36,40,1994,1998,40.4630555555,-86.2480555555,IN
INSTOR_WQX-2097,WAW020-0020,Stream,12,165.2,24.7,76.18333333333334,1993,2003,40.4716666666,-86.2713888888,IN
INSTOR_WQX-2098,WAW020-0021,Stream,2,27,23,25,1994,1998,40.4027777777,-86.2441666666,IN
INSTOR_WQX-2099,WAW020-0022,Stream,2,33,26,29.5,1994,1998,40.4230555555,-86.2569444444,IN
INSTOR_WQX-2100,WAW020-0023,Stream,2,36,28,32,1994,1998,40.4438888888,-86.2677777777,IN
INSTOR_WQX-2101,WAW020-0024,Stream,3,43,28,33.666666666666664,1993,1998,40.4483333333,-86.2725,IN
INSTOR_WQX-2102,WAW020-0025,Stream,2,38,30,34,1994,1998,40.4172222222,-86.2777777777,IN
INSTOR_WQX-2103,WAW020-0026,Stream,3,42,34,37.333333333333336,1993,1998,40.4208333333,-86.2761111111,IN
INSTOR_WQX-2104,WAW020-0027,Stream,2,57,47,52,1994,1998,40.4266666666,-86.2794444444,IN
INSTOR_WQX-2105,WAW020-0028,Stream,8,167.3,36,77.4925,1993,2003,40.4391666666,-86.2805555555,IN
INSTOR_WQX-2106,WAW020-0029,Stream,3,44,33,38,1993,1998,40.4483333333,-86.2736111111,IN
